date,amount_inr,category,direction,spending_label
2023-03-19,149914.44,entertainment,debit,aggressive
2024-03-05,5675.62,groceries,debit,conservative
2023-03-11,6024.96,public_transport,debit,conservative
2023-01-05,1294.65,utilities,debit,conservative
2023-10-31,540.69,groceries,debit,moderate
2024-10-23,2469.16,groceries,debit,conservative
2023-12-14,1969.89,public_transport,debit,conservative
2024-08-23,2265.45,medical,debit,moderate
2023-11-12,3743.68,groceries,debit,conservative
2024-01-07,2547.4,insurance,debit,conservative
2023-09-21,10180.02,entertainment,debit,aggressive
2024-11-07,973.08,utilities,debit,conservative
2023-08-29,22255.73,travel,debit,moderate
2023-12-12,142609.04,travel,debit,aggressive
2024-08-18,1502.39,medical,credit,conservative
2023-11-13,6236.86,insurance,debit,conservative
2024-03-09,35739.23,travel,debit,aggressive
2024-02-18,42010.58,travel,debit,aggressive
2024-11-14,11957.19,dining,debit,moderate
2024-01-19,15463.87,rent,debit,moderate
2024-11-11,128635.03,electronics,debit,aggressive
2023-11-01,14051.04,dining,debit,moderate
2024-01-05,6289.69,medical,debit,conservative
2023-11-29,3111.04,shopping,debit,aggressive
2023-10-23,6700.98,rent,credit,conservative
2024-04-29,7653.86,groceries,debit,conservative
2024-10-21,24621.93,shopping,debit,moderate
2024-12-28,19416.57,entertainment,debit,moderate
2024-10-18,6477.16,groceries,debit,conservative
2024-09-10,7957.55,shopping,debit,aggressive
2023-04-01,18595.22,entertainment,debit,moderate
2024-07-28,7463.64,utilities,debit,conservative
2023-01-27,24014.48,entertainment,debit,moderate
2024-10-10,8910.67,dining,debit,moderate
2023-07-27,46961.9,electronics,debit,aggressive
2023-04-04,11976.21,shopping,debit,moderate
2024-04-20,10583.61,entertainment,debit,moderate
2023-03-16,16496.59,medical,debit,moderate
2023-11-27,75469.79,travel,debit,aggressive
2024-08-06,11185.34,investments,debit,aggressive
2024-07-21,1745.99,groceries,debit,conservative
2023-11-02,377.87,public_transport,debit,conservative
2023-05-23,102570.0,luxury,debit,aggressive
2023-12-27,6881.59,public_transport,debit,conservative
2024-12-07,4849.13,medical,debit,conservative
2024-09-25,7233.21,rent,debit,moderate
2024-08-30,632.08,groceries,debit,conservative
2024-02-10,2145.58,groceries,debit,moderate
2024-04-06,53455.7,investments,debit,aggressive
2024-04-24,44784.37,entertainment,debit,aggressive
2024-04-08,37553.49,luxury,debit,aggressive
2024-01-14,12519.89,dining,debit,moderate
2023-09-01,13505.83,travel,debit,moderate
2023-06-15,11992.74,travel,credit,aggressive
2024-02-13,23056.31,rent,debit,moderate
2023-05-18,2577.88,shopping,debit,moderate
2023-10-08,85830.26,luxury,debit,aggressive
2024-02-10,49465.9,dining,debit,aggressive
2023-07-07,7501.14,insurance,debit,conservative
2024-03-05,21331.72,utilities,debit,moderate
2023-08-22,109474.66,subscriptions,debit,aggressive
2023-06-07,13473.78,medical,debit,moderate
2024-07-09,113220.64,dining,debit,aggressive
2024-04-03,22245.49,shopping,debit,moderate
2023-10-18,88543.4,entertainment,debit,aggressive
2023-09-24,2652.63,medical,debit,conservative
2024-03-17,3927.44,rent,debit,conservative
2023-09-23,131515.93,electronics,debit,aggressive
2024-08-24,26864.13,subscriptions,debit,aggressive
2024-11-22,2550.47,utilities,debit,conservative
2023-02-12,9481.91,groceries,debit,moderate
2023-02-17,11650.39,rent,debit,moderate
2023-09-11,3534.81,entertainment,credit,moderate
2024-02-23,1506.44,medical,debit,moderate
2024-12-21,11891.85,entertainment,debit,moderate
2023-10-13,149794.21,shopping,debit,aggressive
2024-09-29,95866.7,subscriptions,debit,aggressive
2023-05-30,65799.3,travel,credit,aggressive
2024-12-25,13948.82,travel,debit,aggressive
2023-01-06,3446.85,medical,credit,conservative
2024-09-04,12606.47,utilities,debit,moderate
2024-02-17,4664.96,groceries,debit,conservative
2023-04-27,22296.58,rent,debit,moderate
2023-02-16,6655.52,utilities,debit,conservative
2024-07-06,40098.51,travel,debit,aggressive
2023-07-30,5523.46,utilities,debit,conservative
2024-09-10,7436.8,groceries,debit,conservative
2024-05-16,98597.64,dining,debit,aggressive
2023-11-19,3995.93,groceries,debit,conservative
2023-06-27,12256.65,rent,debit,moderate
2023-09-20,805.51,travel,debit,moderate
2023-08-04,83723.37,electronics,debit,aggressive
2023-02-14,4021.11,shopping,debit,moderate
2023-12-01,21407.55,dining,debit,moderate
2023-03-03,3443.3,rent,credit,conservative
2024-01-26,18672.05,rent,debit,moderate
2024-02-18,6166.99,utilities,debit,conservative
2023-03-26,116601.71,investments,debit,aggressive
2023-08-12,11998.51,dining,debit,moderate
2023-12-22,40507.33,subscriptions,debit,aggressive
2023-02-20,119623.08,electronics,debit,aggressive
2024-06-22,5791.74,utilities,debit,conservative
2023-04-06,15575.1,investments,debit,aggressive
2024-05-05,6322.63,medical,debit,moderate
2023-07-23,134088.18,dining,debit,aggressive
2023-06-21,8470.9,medical,debit,moderate
2023-11-30,59178.54,subscriptions,debit,aggressive
2023-06-28,4450.72,groceries,debit,moderate
2023-09-25,111299.59,luxury,debit,aggressive
2024-09-10,7895.73,public_transport,debit,conservative
2023-05-14,2754.47,utilities,debit,conservative
2024-03-07,21311.17,utilities,credit,moderate
2023-05-02,109020.84,investments,debit,aggressive
2024-03-28,140069.32,investments,debit,aggressive
2024-05-24,1773.9,insurance,debit,conservative
2024-04-28,4544.85,utilities,debit,conservative
2023-06-23,2145.22,utilities,debit,conservative
2024-02-20,1290.42,groceries,debit,conservative
2024-05-25,6736.25,insurance,credit,conservative
2023-03-27,10854.0,electronics,debit,aggressive
2023-12-03,3093.19,insurance,debit,conservative
2024-11-16,4659.48,public_transport,debit,conservative
2024-10-12,15048.85,rent,debit,moderate
2023-05-23,6204.88,utilities,debit,moderate
2024-05-26,2636.46,groceries,debit,conservative
2023-11-12,19624.24,groceries,debit,moderate
2024-06-05,19456.16,entertainment,debit,moderate
2023-02-04,3886.03,utilities,debit,moderate
2023-01-26,25313.45,electronics,debit,aggressive
2024-07-28,2576.7,medical,debit,conservative
2024-05-28,8988.73,dining,credit,moderate
2023-01-20,112032.07,entertainment,debit,aggressive
2023-12-30,3791.99,groceries,debit,moderate
2024-04-08,6474.02,insurance,debit,conservative
2023-12-02,530.33,insurance,debit,conservative
2023-06-19,21910.27,shopping,debit,moderate
2023-04-07,1737.73,utilities,debit,moderate
2023-04-29,19436.97,groceries,debit,moderate
2024-04-15,6617.54,utilities,debit,conservative
2023-08-12,4717.91,groceries,debit,conservative
2024-07-05,11230.75,shopping,debit,moderate
2023-09-17,36981.34,subscriptions,credit,aggressive
2024-03-05,60383.26,travel,debit,aggressive
2024-04-05,3609.78,groceries,debit,conservative
2024-04-04,4755.96,rent,debit,conservative
2024-01-28,94646.45,electronics,debit,aggressive
2024-02-17,102144.55,travel,credit,aggressive
2024-07-28,1199.29,insurance,debit,conservative
2023-11-26,79243.93,electronics,debit,aggressive
2024-04-25,62677.39,luxury,debit,aggressive
2024-10-07,16486.72,groceries,debit,moderate
2024-11-06,126811.79,electronics,debit,aggressive
2023-06-30,6092.2,groceries,debit,moderate
2024-09-08,16120.92,dining,debit,moderate
2024-08-04,4517.92,insurance,debit,conservative
2024-06-28,143032.53,entertainment,debit,aggressive
2023-08-07,14962.85,entertainment,debit,moderate
2024-04-27,4053.13,medical,debit,conservative
2023-12-19,19331.38,groceries,debit,moderate
2023-11-23,3171.97,insurance,debit,conservative
2024-03-06,5551.55,medical,credit,conservative
2023-08-13,15162.69,medical,credit,moderate
2023-10-08,146408.93,shopping,debit,aggressive
2024-01-04,6012.47,rent,debit,conservative
2024-07-19,140051.38,dining,debit,aggressive
2023-06-28,2923.65,groceries,debit,moderate
2023-04-19,3463.52,public_transport,debit,conservative
2024-08-22,79856.96,entertainment,debit,aggressive
2023-07-10,86148.32,shopping,debit,aggressive
2023-03-17,130189.4,subscriptions,debit,aggressive
2024-08-13,2673.68,groceries,debit,conservative
2023-05-01,18266.99,shopping,debit,moderate
2023-01-05,5318.9,rent,credit,conservative
2023-04-11,7959.43,medical,debit,moderate
2024-07-22,7057.76,insurance,debit,conservative
2024-03-06,2672.92,rent,credit,conservative
2023-09-21,4513.35,public_transport,debit,conservative
2023-03-26,93696.25,investments,debit,aggressive
2024-09-21,22647.35,utilities,debit,moderate
2024-02-15,59034.68,subscriptions,debit,aggressive
2023-10-17,17101.71,travel,debit,moderate
2023-03-18,719.16,utilities,debit,conservative
2024-12-10,15399.17,rent,debit,moderate
2024-10-09,5360.96,groceries,debit,conservative
2024-06-26,101861.01,investments,debit,aggressive
2023-04-23,11372.61,shopping,debit,aggressive
2024-08-09,6279.92,public_transport,debit,conservative
2024-04-10,15756.36,entertainment,debit,moderate
2024-12-26,80649.24,travel,debit,aggressive
2024-08-28,107158.85,luxury,credit,aggressive
2024-06-26,859.73,rent,debit,moderate
2024-06-08,14389.98,utilities,debit,moderate
2024-02-25,10523.93,travel,debit,moderate
2024-09-19,22858.28,groceries,debit,moderate
2023-02-23,99672.79,travel,debit,aggressive
2023-02-19,6113.08,insurance,debit,conservative
2023-05-12,10632.41,rent,debit,moderate
2023-12-29,1388.03,utilities,debit,conservative
2023-07-05,4802.59,medical,credit,conservative
2023-01-28,9631.21,utilities,credit,moderate
2024-11-11,1689.95,utilities,debit,moderate
2024-01-06,5547.61,luxury,debit,aggressive
2024-01-16,3623.51,medical,credit,conservative
2024-01-04,7025.04,rent,debit,conservative
2023-03-22,6684.69,travel,debit,moderate
2024-07-16,9741.55,shopping,debit,moderate
2024-10-21,9026.77,rent,debit,moderate
2024-02-28,2683.58,investments,credit,aggressive
2024-09-22,530.21,travel,debit,moderate
2024-02-10,1352.71,groceries,debit,conservative
2024-01-26,18082.16,medical,debit,moderate
2023-08-12,58031.73,subscriptions,credit,aggressive
2024-09-14,132057.02,entertainment,debit,aggressive
2024-12-02,5116.2,public_transport,debit,conservative
2023-12-25,95565.97,electronics,debit,aggressive
2023-01-23,3210.42,dining,debit,moderate
2024-01-23,4483.33,rent,debit,conservative
2023-04-06,4490.35,medical,debit,moderate
2023-06-02,3465.14,utilities,debit,conservative
2023-08-14,113039.37,entertainment,debit,aggressive
2023-06-07,116686.37,investments,debit,aggressive
2024-05-05,2802.37,insurance,debit,conservative
2024-09-28,100841.68,shopping,debit,aggressive
2023-06-03,18718.21,rent,credit,moderate
2024-12-26,14823.65,utilities,debit,moderate
2023-11-12,95706.08,travel,debit,aggressive
2024-04-12,2278.41,utilities,debit,conservative
2023-03-17,128152.58,subscriptions,debit,aggressive
2023-12-05,6669.54,utilities,debit,conservative
2024-08-07,4038.8,groceries,debit,conservative
2024-04-08,24554.25,rent,debit,moderate
2023-07-06,94570.77,dining,debit,aggressive
2023-06-20,4340.0,public_transport,debit,conservative
2024-02-09,598.19,travel,credit,moderate
2024-03-07,16509.26,dining,debit,moderate
2023-03-23,9920.36,shopping,credit,moderate
2024-10-01,146388.16,travel,debit,aggressive
2024-05-16,3809.84,public_transport,debit,conservative
2023-12-02,6315.83,medical,debit,conservative
2024-01-15,20096.83,utilities,debit,moderate
2023-05-07,12928.67,medical,debit,moderate
2024-04-10,18476.96,utilities,debit,moderate
2023-11-18,55083.57,dining,debit,aggressive
2024-08-31,123542.16,dining,debit,aggressive
2023-12-12,30460.5,travel,debit,aggressive
2023-05-31,133478.09,luxury,debit,aggressive
2023-01-05,118424.16,electronics,debit,aggressive
2023-10-05,6703.02,rent,credit,moderate
2023-06-20,3066.59,utilities,debit,conservative
2024-09-23,142428.78,electronics,debit,aggressive
2023-12-25,14867.91,travel,debit,moderate
2024-04-16,12010.12,shopping,debit,moderate
2024-02-29,2905.58,insurance,debit,conservative
2023-02-28,19005.59,utilities,debit,moderate
2023-08-29,4376.39,medical,debit,conservative
2023-12-05,104138.76,electronics,debit,aggressive
2024-06-26,11984.6,groceries,debit,moderate
2024-08-01,42053.56,dining,debit,aggressive
2024-03-28,7934.06,luxury,debit,aggressive
2023-02-06,8888.89,travel,debit,moderate
2023-10-11,119776.71,investments,debit,aggressive
2024-04-18,60153.25,luxury,debit,aggressive
2023-04-18,12309.75,travel,debit,moderate
2024-04-21,120486.38,dining,debit,aggressive
2024-12-15,17605.65,dining,debit,moderate
2023-02-07,16775.0,travel,debit,aggressive
2023-09-29,9319.95,travel,debit,aggressive
2023-10-26,67127.42,dining,debit,aggressive
2024-10-11,539.11,groceries,debit,conservative
2024-03-23,625.1,groceries,debit,conservative
2023-07-21,22520.87,luxury,debit,aggressive
2024-01-29,123241.58,subscriptions,credit,aggressive
2024-08-31,28100.74,shopping,debit,aggressive
2023-10-23,19120.37,groceries,debit,moderate
2023-04-19,9357.63,travel,debit,moderate
2023-11-17,3189.89,public_transport,debit,conservative
2023-10-25,15405.7,dining,debit,aggressive
2023-03-18,10264.54,travel,debit,moderate
2024-08-19,726.86,utilities,debit,moderate
2023-10-24,121727.5,electronics,debit,aggressive
2024-03-31,5392.34,rent,debit,conservative
2023-08-21,2413.66,travel,credit,moderate
2023-05-04,1271.78,rent,debit,conservative
2024-06-06,46767.08,travel,debit,aggressive
2024-04-21,2666.47,rent,debit,conservative
2023-11-30,106316.07,entertainment,debit,aggressive
2024-11-26,21524.07,dining,credit,moderate
2024-01-13,12721.02,groceries,debit,moderate
2023-10-01,4285.27,insurance,debit,conservative
2024-08-26,6276.17,public_transport,debit,conservative
2024-03-13,2157.98,electronics,debit,aggressive
2024-03-27,6981.23,entertainment,debit,moderate
2023-09-22,13645.92,dining,debit,moderate
2024-09-06,2560.83,groceries,debit,moderate
2024-02-02,135040.39,electronics,debit,aggressive
2024-05-12,54293.98,entertainment,debit,aggressive
2024-08-06,2946.63,utilities,debit,moderate
2024-05-16,2515.64,insurance,debit,conservative
2023-07-22,77212.55,luxury,debit,aggressive
2024-08-18,22612.57,entertainment,debit,moderate
2024-01-26,149044.36,dining,debit,aggressive
2023-07-19,951.85,rent,debit,conservative
2023-04-23,1100.82,utilities,credit,conservative
2024-03-28,124842.84,electronics,debit,aggressive
2023-10-21,24786.61,shopping,debit,aggressive
2024-05-22,6913.61,public_transport,debit,conservative
2023-11-06,28068.47,electronics,debit,aggressive
2024-06-11,3755.06,groceries,debit,conservative
2023-01-04,602.93,public_transport,debit,conservative
2023-06-18,491.82,utilities,debit,conservative
2024-07-26,11240.46,entertainment,debit,moderate
2023-05-27,6472.17,rent,debit,conservative
2023-02-24,19659.13,medical,debit,moderate
2023-11-20,5658.25,utilities,debit,conservative
2023-10-31,22483.9,groceries,debit,moderate
2023-08-04,3776.68,insurance,debit,conservative
2023-10-28,6009.14,medical,debit,conservative
2023-12-04,1457.92,groceries,debit,conservative
2024-12-26,1873.76,insurance,debit,conservative
2023-07-30,6451.56,utilities,debit,conservative
2024-11-03,4276.53,groceries,debit,conservative
2023-11-04,23222.78,shopping,debit,moderate
2023-01-01,66574.87,electronics,debit,aggressive
2023-09-09,129321.72,travel,debit,aggressive
2023-05-13,22724.04,dining,credit,moderate
2024-07-31,100912.95,subscriptions,debit,aggressive
2024-07-27,339.13,utilities,debit,conservative
2023-04-16,1006.54,rent,debit,conservative
2024-04-20,12198.89,medical,debit,moderate
2024-12-16,75798.65,electronics,debit,aggressive
2023-08-22,15414.16,dining,debit,moderate
2023-09-14,70349.05,travel,debit,aggressive
2024-07-01,5737.26,medical,debit,conservative
2024-10-31,23298.49,dining,debit,aggressive
2023-03-02,102701.98,entertainment,debit,aggressive
2023-07-14,7759.58,utilities,debit,conservative
2024-02-03,7979.09,electronics,debit,aggressive
2023-03-18,139270.72,dining,debit,aggressive
2023-02-18,4738.36,rent,debit,moderate
2024-08-20,24720.8,entertainment,debit,moderate
2024-03-03,14256.49,rent,debit,moderate
2023-12-16,22085.38,utilities,debit,moderate
2024-08-03,5692.89,dining,debit,moderate
2024-07-11,3177.42,groceries,debit,moderate
2024-09-05,24762.88,medical,debit,moderate
2024-07-25,3092.22,rent,debit,conservative
2023-10-07,18616.07,travel,debit,moderate
2023-03-10,130360.85,luxury,debit,aggressive
2024-01-28,144881.56,electronics,debit,aggressive
2024-05-30,49687.92,shopping,debit,aggressive
2023-07-20,5285.06,insurance,debit,conservative
2024-03-24,16919.98,dining,debit,moderate
2024-06-03,100191.08,electronics,debit,aggressive
2023-04-13,29894.2,dining,debit,aggressive
2023-02-26,117420.74,luxury,debit,aggressive
2023-10-11,16201.77,dining,credit,moderate
2023-05-28,5051.27,entertainment,debit,moderate
2024-09-12,646.41,public_transport,debit,conservative
2023-07-31,6968.36,public_transport,debit,conservative
2024-09-14,8157.96,dining,credit,moderate
2023-04-30,4564.72,entertainment,debit,moderate
2023-04-13,4521.48,insurance,debit,conservative
2024-12-21,28230.85,subscriptions,debit,aggressive
2024-06-09,3570.33,groceries,debit,conservative
2023-11-02,5381.65,public_transport,debit,conservative
2024-04-24,100110.64,dining,credit,aggressive
2024-12-31,7760.87,dining,debit,moderate
2024-01-27,15733.9,medical,debit,moderate
2023-04-04,18549.29,groceries,debit,moderate
2024-03-30,4992.16,medical,credit,conservative
2023-08-11,440.38,insurance,debit,conservative
2024-11-04,60087.74,shopping,debit,aggressive
2023-08-25,142399.53,shopping,debit,aggressive
2023-08-11,12867.39,dining,debit,moderate
2024-10-15,97651.03,subscriptions,debit,aggressive
2024-03-22,10333.21,dining,debit,moderate
2023-04-09,6508.84,groceries,debit,moderate
2023-04-13,13061.94,shopping,debit,moderate
2023-04-29,50328.93,shopping,debit,aggressive
2023-10-20,13531.21,rent,debit,moderate
2023-11-03,41191.46,subscriptions,debit,aggressive
2023-03-07,6401.9,utilities,debit,conservative
2023-06-28,5443.47,medical,debit,conservative
2023-09-26,34440.0,investments,debit,aggressive
2024-07-17,7347.51,medical,debit,conservative
2023-11-17,141962.66,investments,debit,aggressive
2024-07-08,33751.77,dining,debit,aggressive
2024-12-13,1040.38,medical,debit,conservative
2024-05-16,1677.88,medical,debit,conservative
2023-12-16,5169.18,rent,debit,conservative
2023-12-01,7286.93,rent,debit,conservative
2023-12-06,33846.38,entertainment,debit,aggressive
2024-09-14,21927.09,shopping,debit,moderate
2024-11-18,1357.82,rent,debit,conservative
2023-05-27,24733.76,travel,debit,moderate
2024-12-24,1530.63,groceries,debit,conservative
2024-01-16,10495.06,shopping,credit,moderate
2023-08-09,10156.08,groceries,debit,moderate
2023-03-04,14108.81,medical,debit,moderate
2023-03-12,24721.78,dining,debit,aggressive
2023-11-07,9610.03,electronics,debit,aggressive
2024-04-18,117700.04,entertainment,debit,aggressive
2024-12-30,17671.58,medical,debit,moderate
2024-11-04,12839.01,dining,debit,moderate
2024-07-25,1062.59,groceries,debit,conservative
2023-04-05,24544.35,electronics,debit,aggressive
2023-05-15,68411.97,dining,debit,aggressive
2023-08-15,1322.2,rent,debit,conservative
2023-03-28,22962.79,dining,debit,moderate
2024-09-19,5639.47,groceries,credit,conservative
2023-02-20,25052.14,shopping,debit,aggressive
2023-12-31,6263.76,utilities,debit,conservative
2023-02-10,7374.98,utilities,debit,moderate
2024-05-24,902.37,rent,debit,conservative
2024-08-11,145690.94,subscriptions,debit,aggressive
2024-05-16,5437.68,investments,debit,aggressive
2023-05-10,49112.31,electronics,debit,aggressive
2023-10-27,23848.48,rent,credit,moderate
2024-02-10,5145.01,insurance,debit,conservative
2024-05-13,4159.67,medical,debit,moderate
2024-07-26,14463.38,shopping,debit,moderate
2024-10-22,18157.05,dining,debit,moderate
2023-08-27,3089.59,groceries,debit,conservative
2023-08-21,20080.73,shopping,debit,moderate
2023-04-30,14083.21,entertainment,debit,moderate
2023-01-13,11605.36,utilities,debit,moderate
2024-09-16,2078.46,rent,debit,conservative
2023-01-13,9523.35,luxury,debit,aggressive
2023-09-12,114170.73,investments,debit,aggressive
2023-05-14,49468.65,luxury,debit,aggressive
2023-02-15,8537.92,subscriptions,debit,aggressive
2023-03-25,18444.13,entertainment,debit,moderate
2023-05-27,44335.0,entertainment,debit,aggressive
2023-03-29,1245.94,medical,debit,conservative
2024-12-24,22307.27,travel,debit,aggressive
2024-12-18,49520.67,subscriptions,debit,aggressive
2024-02-03,2282.41,groceries,debit,conservative
2024-05-26,123819.93,investments,debit,aggressive
2023-05-06,67862.38,entertainment,credit,aggressive
2023-06-24,23155.19,groceries,debit,moderate
2024-07-29,5385.84,medical,debit,conservative
2023-11-29,15283.9,entertainment,debit,moderate
2024-08-08,74706.1,luxury,debit,aggressive
2024-06-23,2555.03,insurance,debit,conservative
2023-10-10,7471.25,entertainment,debit,moderate
2024-03-22,5150.11,groceries,debit,conservative
2023-04-07,3578.76,utilities,debit,moderate
2024-01-08,136248.78,electronics,debit,aggressive
2023-12-15,140460.21,travel,credit,aggressive
2024-10-04,9786.79,utilities,debit,moderate
2023-06-18,6420.15,entertainment,debit,moderate
2024-02-09,5290.18,rent,debit,conservative
2023-10-29,3118.64,rent,debit,conservative
2024-09-02,7752.81,rent,debit,moderate
2023-04-01,7434.99,insurance,debit,conservative
2024-06-06,49588.76,electronics,debit,aggressive
2023-04-25,944.93,dining,debit,moderate
2023-12-08,5621.91,shopping,debit,moderate
2024-02-09,129398.54,subscriptions,debit,aggressive
2024-01-27,4210.94,insurance,debit,conservative
2024-08-05,1759.28,utilities,credit,conservative
2024-12-26,7155.08,rent,debit,conservative
2024-02-27,1491.15,groceries,debit,conservative
2023-06-10,10113.04,utilities,debit,moderate
2024-07-11,73129.93,dining,debit,aggressive
2024-12-02,6018.91,medical,debit,conservative
